
".MODEL_1.Last_Run.PART_5_XFORM.TIME"	".MODEL_1.Last_Run.PART_5_XFORM.X"	".MODEL_1.Last_Run.PART_5_XFORM.Y"	".MODEL_1.Last_Run.PART_5_XFORM.Z"	".MODEL_1.Last_Run.PART_5_XFORM.PSI"	".MODEL_1.Last_Run.PART_5_XFORM.THETA"	".MODEL_1.Last_Run.PART_5_XFORM.PHI"	".MODEL_1.Last_Run.PART_5_XFORM.VX"	".MODEL_1.Last_Run.PART_5_XFORM.VY"	".MODEL_1.Last_Run.PART_5_XFORM.VZ"	".MODEL_1.Last_Run.PART_5_XFORM.WX"	".MODEL_1.Last_Run.PART_5_XFORM.WY"	".MODEL_1.Last_Run.PART_5_XFORM.WZ"	".MODEL_1.Last_Run.PART_5_XFORM.ACCX"	".MODEL_1.Last_Run.PART_5_XFORM.ACCY"	".MODEL_1.Last_Run.PART_5_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_5_XFORM.WDX"	".MODEL_1.Last_Run.PART_5_XFORM.WDY"	".MODEL_1.Last_Run.PART_5_XFORM.WDZ"
2.550000e+00	1.207441e-01	-3.981824e-02	-1.004494e-01	-7.771361e+01	3.015274e+01	9.088599e+01	2.668248e-02	1.870115e-02	-3.432849e-02	-3.468871e+00	-1.252068e+01	-8.455604e+00	-5.647465e-02	3.245427e-02	3.037413e-02	-2.313045e+00	9.046220e+00	-1.389168e+01
2.600000e+00	1.219351e-01	-3.879741e-02	-1.020923e-01	-7.867520e+01	3.070581e+01	9.147288e+01	2.374809e-02	2.032140e-02	-3.273198e-02	-3.567731e+00	-1.203115e+01	-9.140254e+00	-5.880422e-02	3.229969e-02	3.171766e-02	-1.929488e+00	9.797651e+00	-1.368326e+01
2.650000e+00	1.229742e-01	-3.769594e-02	-1.036516e-01	-7.964210e+01	3.123728e+01	9.203000e+01	2.070475e-02	2.192996e-02	-3.107133e-02	-3.646812e+00	-1.150476e+01	-9.811940e+00	-6.096697e-02	3.210742e-02	3.299734e-02	-1.528285e+00	1.053250e+01	-1.341910e+01
2.700000e+00	1.238564e-01	-3.651464e-02	-1.051243e-01	-8.061413e+01	3.174540e+01	9.255763e+01	1.756172e-02	2.352472e-02	-2.934993e-02	-3.705365e+00	-1.094255e+01	-1.046783e+01	-6.294295e-02	3.187557e-02	3.421191e-02	-1.111080e+00	1.124580e+01	-1.309902e+01
2.750000e+00	1.245771e-01	-3.525441e-02	-1.065075e-01	-8.159102e+01	3.222843e+01	9.305613e+01	1.432921e-02	2.510342e-02	-2.757120e-02	-3.742732e+00	-1.034585e+01	-1.110512e+01	-6.471317e-02	3.160167e-02	3.536057e-02	-6.797240e-01	1.193254e+01	-1.272337e+01
2.800000e+00	1.251323e-01	-3.391631e-02	-1.077986e-01	-8.257242e+01	3.268466e+01	9.352593e+01	1.101834e-02	2.666373e-02	-2.573857e-02	-3.758357e+00	-9.716199e+00	-1.172102e+01	-6.625989e-02	3.128264e-02	3.644285e-02	-2.362581e-01	1.258777e+01	-1.229298e+01
2.850000e+00	1.255188e-01	-3.250150e-02	-1.089949e-01	-8.355790e+01	3.311244e+01	9.396756e+01	7.641037e-03	2.820312e-02	-2.385549e-02	-3.751795e+00	-9.055401e+00	-1.231282e+01	-6.756690e-02	3.091483e-02	3.745857e-02	2.171019e-01	1.320665e+01	-1.180919e+01
2.900000e+00	1.257337e-01	-3.101129e-02	-1.100943e-01	-8.454698e+01	3.351016e+01	9.438163e+01	4.209963e-03	2.971892e-02	-2.192542e-02	-3.722712e+00	-8.365490e+00	-1.287791e+01	-6.861977e-02	3.049403e-02	3.840772e-02	6.779851e-01	1.378449e+01	-1.127386e+01
2.950000e+00	1.257750e-01	-2.944713e-02	-1.110944e-01	-8.553907e+01	3.387630e+01	9.476881e+01	7.384100e-04	3.120824e-02	-1.995177e-02	-3.670897e+00	-7.648724e+00	-1.341378e+01	-6.940612e-02	3.001556e-02	3.929039e-02	1.143888e+00	1.431686e+01	-1.068932e+01
3.000000e+00	1.256412e-01	-2.781063e-02	-1.119935e-01	-8.653352e+01	3.420942e+01	9.512987e+01	-2.759813e-03	3.266800e-02	-1.793798e-02	-3.596259e+00	-6.907571e+00	-1.391808e+01	-6.991581e-02	2.947439e-02	4.010661e-02	1.612199e+00	1.479960e+01	-1.005839e+01
