t,y,v
1.823709459223252116e+00,5.803909080441503610e-03,-3.852129762111732858e-01
1.833709459223252125e+00,1.461279318329767284e-03,-4.833129762111733618e-01
1.835709459223252127e+00,4.750333659074199542e-04,-5.029329762111733881e-01
1.836369241990785772e+00,1.410716432407389310e-04,-5.094054451606784273e-01
1.836469268051918791e+00,9.006874747230158933e-05,-5.103867008203933908e-01
1.836569294113051809e+00,3.896770056525848214e-05,-5.113679564801083544e-01
1.836644211443295704e+00,6.298486592431102064e-07,-5.121028954898009244e-01
1.836681197635333440e+00,-1.830900387749669243e-05,-5.119492432461728582e-01
1.836714732316753418e+00,-3.547393316832644244e-05,-5.117627969563138812e-01
1.837050079130953195e+00,-2.067759779988084280e-04,-5.098658988073875298e-01
1.838130533364992880e+00,-7.540316207620604118e-04,-5.028608352200154563e-01
1.840008044838142176e+00,-1.682900761214464053e-03,-4.852547788444758758e-01
1.842462382334627780e+00,-2.831948006489919643e-03,-4.481899808526711992e-01
1.845004068922446949e+00,-3.902424673328276205e-03,-3.909220261953904596e-01
1.847479708296328793e+00,-4.782641961853580960e-03,-3.174952845939202906e-01
1.849859019460771359e+00,-5.440494366904157809e-03,-2.336782709549787285e-01
1.852119003429171684e+00,-5.870904020985325163e-03,-1.463744235411075789e-01
1.854238168040351686e+00,-6.091847951507781481e-03,-6.213295566208480725e-02
1.855912991359594866e+00,-6.140873859848384152e-03,3.201339496022512221e-03
1.857587814678838045e+00,-6.082972983481631929e-03,6.523158645824883584e-02
1.859324315569957919e+00,-5.917639012521999642e-03,1.241219531241334051e-01
1.861361079740066371e+00,-5.602037596251529736e-03,1.839513865214724708e-01
1.863643472537505508e+00,-5.118750703123146548e-03,2.369127551865922998e-01
1.866145894823808993e+00,-4.472436390193617640e-03,2.763400487648903225e-01
1.868821639336192719e+00,-3.700549288738282441e-03,2.970296066302938742e-01
1.871620950813455142e+00,-2.864099649661030859e-03,2.972235376074177093e-01
1.874546734785078383e+00,-2.017878443176220841e-03,2.784532563868067356e-01
1.877690023513810091e+00,-1.194903009709410774e-03,2.431578822015024732e-01
1.881335405110849068e+00,-4.001672538989967630e-04,1.917836993724891526e-01
1.882443883485886760e+00,-1.966674116783906562e-04,1.753799689948405127e-01
1.883552361860924451e+00,-1.132256564855343918e-05,1.590726581212828228e-01
1.883618825729187041e+00,-7.821630500008846300e-07,1.581045440647813605e-01
1.883654093743984292e+00,4.787231626980591238e-06,1.577433180956569481e-01
1.883686393670983783e+00,9.877211971808866884e-06,1.574264558117919321e-01
1.884009392940978689e+00,6.021411084501638276e-05,1.542578329731419118e-01
1.887239385640927747e+00,5.072926420695686358e-04,1.225716045866416526e-01
1.897239385640927756e+00,1.242508687935985328e-03,2.447160458664156268e-02
1.907239385640927765e+00,9.967247338024004012e-04,-7.362839541335852722e-02
1.909239385640927766e+00,8.298479429756831999e-04,-9.324839541335855353e-02
1.911239385640927768e+00,6.237311521489659338e-04,-1.128683954133585798e-01
1.913832179977412506e+00,2.981123487313273521e-04,-1.383037078542738718e-01
1.914686338150273670e+00,1.764004860967742473e-04,-1.466829995300418799e-01
1.915540496323134834e+00,4.753138299457639092e-05,-1.550622912058098879e-01
